503,ALEu,Aldgate East,1,17770.91 ,225.32 ,2572.70 ,5397.39 ,6137.99 ,2502.32 ,935.18 ,5.17 ,8.31 ,14.10 ,21.25 ,28.19 ,34.65 ,48.47 ,65.19 ,82.94 ,106.39 ,138.19 ,187.39 ,242.93 ,275.17 ,290.46 ,295.88 ,281.02 ,241.24 ,218.48 ,212.61 ,208.56 ,193.24 ,190.24 ,191.07 ,192.81 ,186.02 ,191.62 ,194.63 ,204.55 ,202.41 ,213.11 ,220.08 ,233.60 ,234.59 ,238.16 ,236.76 ,236.49 ,227.47 ,231.05 ,237.43 ,253.57 ,266.79 ,295.01 ,318.14 ,351.15 ,377.73 ,449.95 ,509.52 ,583.86 ,628.09 ,667.81 ,640.02 ,594.42 ,516.26 ,449.20 ,370.00 ,309.50 ,266.42 ,239.50 ,212.76 ,198.70 ,186.31 ,185.01 ,187.63 ,186.78 ,184.70 ,180.16 ,164.84 ,145.15 ,135.43 ,124.97 ,113.76 ,102.74 ,88.21 ,72.96 ,55.68 ,40.08 ,27.11 ,16.62 ,8.21 ,2.98 ,1.28 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
850,ALSd,All Saints,2,2383.03 ,82.68 ,578.25 ,892.79 ,499.48 ,236.94 ,92.89 ,2.01 ,3.63 ,5.70 ,8.48 ,11.50 ,13.47 ,17.05 ,20.83 ,25.94 ,31.86 ,43.22 ,54.54 ,63.68 ,67.02 ,67.49 ,60.19 ,50.99 ,42.05 ,37.11 ,34.15 ,33.04 ,31.45 ,31.33 ,31.73 ,30.80 ,29.76 ,29.85 ,30.43 ,30.95 ,31.47 ,33.06 ,34.92 ,35.71 ,35.50 ,35.92 ,36.04 ,37.27 ,37.15 ,40.61 ,43.79 ,48.82 ,52.79 ,55.56 ,54.83 ,54.66 ,51.66 ,48.99 ,47.64 ,45.76 ,43.02 ,41.23 ,37.43 ,35.38 ,33.15 ,31.27 ,29.29 ,28.09 ,26.21 ,24.95 ,23.97 ,22.23 ,20.32 ,18.87 ,17.12 ,15.15 ,13.94 ,13.31 ,12.80 ,12.29 ,11.42 ,11.27 ,10.75 ,9.89 ,8.64 ,8.07 ,6.48 ,4.98 ,3.47 ,2.63 ,1.68 ,0.98 ,0.34 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
505,ALPu,Alperton,4,3733.89 ,483.75 ,1298.71 ,1003.25 ,640.91 ,247.79 ,59.48 ,11.36 ,19.20 ,30.25 ,50.64 ,65.44 ,82.65 ,103.99 ,120.23 ,124.38 ,134.61 ,140.26 ,138.44 ,133.53 ,129.06 ,116.88 ,101.34 ,85.50 ,73.62 ,64.04 ,57.05 ,50.49 ,46.89 ,45.22 ,42.57 ,40.89 ,39.35 ,38.61 ,38.48 ,39.38 ,38.49 ,39.14 ,40.26 ,40.22 ,38.58 ,40.54 ,42.37 ,41.96 ,39.72 ,41.10 ,40.76 ,40.38 ,42.59 ,46.94 ,48.31 ,50.05 ,52.10 ,53.44 ,58.74 ,61.77 ,62.59 ,62.72 ,60.10 ,51.91 ,46.28 ,42.82 ,38.39 ,34.94 ,32.00 ,28.67 ,24.85 ,21.98 ,19.74 ,17.79 ,16.72 ,14.70 ,12.77 ,11.95 ,11.69 ,10.43 ,9.94 ,9.17 ,8.18 ,5.88 ,4.80 ,3.57 ,2.78 ,1.66 ,1.28 ,0.82 ,0.50 ,0.31 ,0.09 ,0.05 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
506,AMEu,Amersham,9,3137.49 ,517.55 ,1466.81 ,671.65 ,393.07 ,72.37 ,16.04 ,16.02 ,16.02 ,31.40 ,44.60 ,71.49 ,86.08 ,108.42 ,143.52 ,161.31 ,204.36 ,201.50 ,214.03 ,174.70 ,154.64 ,91.30 ,74.17 ,55.12 ,48.26 ,47.19 ,40.23 ,43.17 ,30.39 ,36.43 ,30.01 ,35.21 ,26.54 ,30.61 ,22.75 ,26.46 ,19.86 ,24.84 ,19.40 ,22.64 ,17.65 ,21.06 ,17.11 ,21.44 ,19.41 ,23.68 ,23.63 ,29.40 ,39.82 ,45.49 ,44.67 ,54.87 ,46.46 ,40.05 ,42.25 ,43.43 ,28.34 ,36.36 ,29.25 ,22.03 ,16.71 ,20.33 ,12.99 ,12.58 ,8.26 ,8.92 ,6.03 ,6.55 ,5.06 ,5.06 ,3.93 ,4.21 ,3.67 ,3.62 ,4.49 ,3.48 ,2.91 ,2.60 ,1.98 ,1.12 ,1.30 ,0.86 ,0.68 ,0.37 ,0.37 ,0.18 ,0.18 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9442,AMPt,Ampere Way,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
5397,ANYr,Anerley,4,1593.43 ,316.70 ,665.62 ,341.08 ,203.52 ,52.96 ,13.56 ,12.99 ,39.19 ,43.01 ,47.77 ,43.74 ,50.55 ,35.42 ,44.02 ,51.75 ,64.20 ,73.13 ,77.16 ,77.45 ,73.72 ,64.18 ,52.27 ,43.02 ,35.01 ,30.18 ,23.55 ,21.47 ,18.68 ,17.07 ,16.51 ,16.05 ,15.84 ,16.03 ,15.04 ,14.28 ,14.82 ,14.56 ,14.06 ,14.14 ,13.37 ,12.15 ,10.92 ,10.05 ,10.50 ,11.16 ,11.45 ,12.13 ,13.05 ,13.39 ,14.36 ,15.18 ,15.75 ,17.63 ,19.25 ,19.63 ,19.96 ,21.02 ,19.10 ,16.87 ,15.20 ,13.30 ,10.63 ,9.02 ,7.32 ,6.06 ,4.83 ,4.20 ,3.73 ,3.65 ,3.33 ,2.98 ,2.71 ,2.59 ,2.53 ,2.37 ,2.29 ,2.01 ,1.71 ,1.27 ,0.84 ,0.57 ,0.35 ,0.06 ,0.42 ,0.42 ,0.42 ,0.42 ,0.42 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
507,ANGu,Angel,1,20367.53 ,242.06 ,2597.12 ,5574.65 ,6386.30 ,3444.61 ,2122.79 ,0.00 ,3.90 ,9.06 ,18.21 ,28.71 ,41.75 ,58.69 ,81.75 ,110.93 ,140.91 ,176.04 ,220.01 ,269.33 ,293.09 ,300.39 ,291.27 ,258.77 ,209.04 ,174.78 ,152.54 ,143.05 ,139.50 ,150.63 ,154.32 ,161.52 ,165.71 ,182.69 ,191.78 ,202.50 ,214.81 ,234.14 ,238.58 ,236.00 ,237.82 ,247.06 ,237.56 ,237.41 ,254.80 ,278.09 ,289.65 ,311.13 ,332.08 ,360.85 ,372.95 ,406.31 ,432.81 ,487.83 ,510.09 ,551.80 ,573.64 ,627.18 ,628.60 ,615.65 ,572.12 ,531.20 ,449.06 ,370.30 ,312.26 ,288.77 ,256.47 ,243.21 ,242.94 ,258.37 ,254.61 ,256.34 ,297.43 ,327.95 ,335.94 ,349.59 ,358.39 ,314.05 ,275.88 ,233.54 ,187.86 ,143.36 ,107.76 ,68.36 ,44.39 ,26.03 ,12.20 ,1.35 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
508,ARCu,Archway,2/3,12138.15 ,480.57 ,4142.12 ,3553.14 ,2786.79 ,924.70 ,250.84 ,3.44 ,10.06 ,21.63 ,36.99 ,56.05 ,80.19 ,114.31 ,157.89 ,205.37 ,256.99 ,322.23 ,396.93 ,440.50 ,461.79 ,465.58 ,436.44 ,370.32 ,308.65 ,257.95 ,219.38 ,191.18 ,168.96 ,158.06 ,154.73 ,146.76 ,137.35 ,137.31 ,139.90 ,138.48 ,137.76 ,139.27 ,138.93 ,136.99 ,130.38 ,129.73 ,129.87 ,130.24 ,131.74 ,141.31 ,148.14 ,154.95 ,161.95 ,177.14 ,192.01 ,215.66 ,232.32 ,256.83 ,267.77 ,273.93 ,265.07 ,259.08 ,242.87 ,226.80 ,202.56 ,182.14 ,161.75 ,137.27 ,116.37 ,107.27 ,95.43 ,81.75 ,72.93 ,66.40 ,58.22 ,50.78 ,47.48 ,46.48 ,44.33 ,38.97 ,35.52 ,32.59 ,29.34 ,24.28 ,21.60 ,19.26 ,15.45 ,11.92 ,9.16 ,6.09 ,3.38 ,2.29 ,0.99 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9443,ARNt,Arena,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
509,AGRu,Arnos Grove,4,5631.86 ,591.56 ,2086.13 ,1636.78 ,974.79 ,274.42 ,68.17 ,13.16 ,23.58 ,41.61 ,64.18 ,79.62 ,100.85 ,124.79 ,143.78 ,154.87 ,170.13 ,192.53 ,209.93 ,211.81 ,214.88 ,212.81 ,190.62 ,159.95 ,140.95 ,122.64 ,105.00 ,92.38 ,85.42 ,79.44 ,76.94 ,72.90 ,71.04 ,70.95 ,70.91 ,67.79 ,67.36 ,67.80 ,66.22 ,63.82 ,61.77 ,59.94 ,57.13 ,56.05 ,56.06 ,56.35 ,60.16 ,63.69 ,66.41 ,69.78 ,76.47 ,76.91 ,79.78 ,84.14 ,88.51 ,90.08 ,91.82 ,92.37 ,89.77 ,83.88 ,74.73 ,66.93 ,55.87 ,45.02 ,36.57 ,30.91 ,25.38 ,21.90 ,19.67 ,17.99 ,16.14 ,15.98 ,15.32 ,15.25 ,14.29 ,13.40 ,11.33 ,9.97 ,8.43 ,6.90 ,5.83 ,4.52 ,3.08 ,1.94 ,1.38 ,0.68 ,0.38 ,0.20 ,0.14 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
