503,ALEu,Aldgate East,1,15592.98 ,252.83 ,2580.04 ,5327.19 ,4980.12 ,1864.37 ,588.44 ,6.57 ,10.82 ,16.31 ,23.89 ,30.17 ,39.77 ,54.87 ,70.41 ,87.46 ,108.05 ,134.15 ,177.93 ,226.95 ,251.07 ,268.77 ,284.46 ,279.19 ,255.40 ,252.04 ,254.56 ,253.14 ,232.91 ,226.96 ,224.02 ,219.72 ,203.82 ,205.09 ,204.24 ,205.71 ,194.83 ,206.31 ,211.05 ,215.22 ,209.46 ,215.88 ,208.65 ,208.89 ,207.21 ,215.66 ,223.83 ,238.37 ,244.51 ,266.92 ,284.80 ,306.67 ,327.04 ,386.87 ,425.25 ,487.37 ,515.99 ,534.13 ,505.58 ,467.92 ,392.31 ,340.84 ,290.16 ,246.65 ,211.03 ,189.71 ,166.46 ,148.50 ,134.00 ,135.43 ,137.82 ,135.72 ,127.18 ,123.26 ,108.62 ,92.42 ,83.55 ,80.14 ,71.54 ,63.22 ,53.63 ,44.82 ,34.97 ,24.96 ,18.14 ,11.88 ,6.16 ,1.88 ,1.13 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
850,ALSd,All Saints,2,2422.06 ,84.25 ,556.77 ,965.80 ,510.35 ,233.61 ,71.28 ,2.11 ,3.98 ,6.26 ,9.20 ,12.37 ,13.70 ,16.28 ,20.36 ,24.48 ,29.85 ,41.53 ,52.49 ,60.03 ,63.68 ,64.78 ,58.30 ,49.39 ,41.77 ,37.17 ,33.29 ,31.20 ,37.86 ,37.96 ,38.06 ,38.09 ,38.34 ,31.54 ,32.02 ,36.47 ,40.12 ,41.23 ,42.57 ,42.20 ,37.79 ,34.66 ,34.79 ,34.72 ,35.92 ,38.01 ,45.60 ,48.62 ,54.16 ,56.15 ,57.73 ,51.88 ,49.61 ,48.53 ,48.30 ,46.26 ,45.38 ,44.85 ,39.72 ,37.06 ,34.61 ,32.97 ,31.19 ,29.75 ,28.03 ,26.77 ,24.64 ,21.58 ,18.86 ,17.00 ,15.02 ,14.00 ,13.47 ,13.09 ,11.41 ,10.94 ,9.97 ,9.71 ,8.68 ,8.22 ,7.22 ,5.87 ,4.15 ,2.85 ,1.80 ,1.09 ,0.67 ,0.11 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
505,ALPu,Alperton,4,3704.96 ,471.44 ,1242.23 ,999.78 ,659.47 ,252.51 ,79.53 ,12.00 ,20.07 ,31.11 ,50.53 ,64.03 ,79.73 ,98.41 ,115.56 ,120.89 ,131.48 ,136.83 ,136.84 ,130.64 ,123.15 ,110.32 ,95.30 ,77.97 ,66.80 ,59.64 ,52.37 ,46.71 ,44.07 ,41.56 ,39.22 ,38.58 ,37.98 ,39.03 ,41.03 ,41.24 ,41.55 ,42.27 ,42.84 ,40.37 ,39.91 ,40.66 ,42.01 ,42.19 ,40.37 ,41.21 ,41.38 ,40.10 ,42.44 ,45.91 ,47.12 ,48.66 ,51.27 ,54.16 ,60.04 ,64.02 ,64.37 ,64.82 ,60.82 ,54.56 ,48.98 ,46.42 ,41.35 ,36.86 ,32.16 ,28.07 ,23.16 ,21.11 ,18.69 ,17.34 ,16.35 ,16.09 ,14.46 ,13.66 ,14.55 ,14.46 ,14.07 ,12.85 ,12.10 ,8.76 ,6.44 ,4.27 ,2.81 ,1.52 ,1.05 ,0.56 ,0.33 ,0.21 ,0.11 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
506,AMEu,Amersham,9,2622.77 ,427.96 ,1152.54 ,586.19 ,369.23 ,72.87 ,13.99 ,14.06 ,14.06 ,26.75 ,37.72 ,57.96 ,72.84 ,88.71 ,115.87 ,130.13 ,165.40 ,159.68 ,170.89 ,138.94 ,122.52 ,70.63 ,55.08 ,39.63 ,34.69 ,35.17 ,29.79 ,33.22 ,23.82 ,28.68 ,21.83 ,27.64 ,22.14 ,25.54 ,19.39 ,22.88 ,17.15 ,20.22 ,17.16 ,19.71 ,16.19 ,19.25 ,16.77 ,19.60 ,18.29 ,21.68 ,20.45 ,24.83 ,40.24 ,44.93 ,44.58 ,51.71 ,44.60 ,34.13 ,36.48 ,37.75 ,27.01 ,35.60 ,28.71 ,22.57 ,17.29 ,20.49 ,12.90 ,12.21 ,8.39 ,8.81 ,6.06 ,6.49 ,4.61 ,4.61 ,3.91 ,4.68 ,4.07 ,4.26 ,4.77 ,3.62 ,2.59 ,2.20 ,1.27 ,0.77 ,0.89 ,0.71 ,0.52 ,0.41 ,0.41 ,0.29 ,0.29 ,0.03 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9442,AMPt,Ampere Way,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
5397,ANYr,Anerley,4,1509.77 ,287.20 ,626.36 ,349.73 ,189.77 ,47.36 ,9.34 ,10.21 ,32.36 ,36.63 ,42.22 ,40.59 ,46.46 ,35.06 ,43.68 ,51.61 ,64.05 ,72.94 ,75.44 ,73.05 ,67.95 ,56.86 ,46.37 ,37.52 ,30.83 ,26.91 ,22.82 ,19.66 ,19.28 ,18.49 ,17.34 ,16.86 ,16.54 ,15.73 ,15.90 ,15.47 ,15.24 ,14.95 ,15.08 ,13.76 ,12.90 ,12.72 ,12.24 ,10.76 ,10.97 ,12.22 ,12.10 ,11.92 ,12.86 ,13.34 ,13.40 ,14.28 ,15.49 ,17.48 ,18.49 ,18.80 ,18.11 ,17.81 ,16.37 ,15.42 ,13.72 ,12.72 ,11.09 ,8.55 ,6.59 ,5.15 ,4.28 ,3.73 ,3.53 ,3.55 ,3.47 ,2.85 ,2.35 ,1.94 ,1.37 ,1.24 ,1.27 ,1.31 ,1.18 ,1.14 ,0.82 ,0.44 ,0.15 ,0.09 ,0.34 ,0.34 ,0.34 ,0.34 ,0.34 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
507,ANGu,Angel,1,16576.02 ,239.34 ,2262.85 ,5125.59 ,5496.03 ,2345.89 ,1106.32 ,0.00 ,3.47 ,8.91 ,18.50 ,27.90 ,41.95 ,58.82 ,79.79 ,103.44 ,131.94 ,162.93 ,200.22 ,231.63 ,238.45 ,240.71 ,234.94 ,211.57 ,181.60 ,169.58 ,155.84 ,149.55 ,143.15 ,148.50 ,152.85 ,154.51 ,152.52 ,165.59 ,174.87 ,180.00 ,187.99 ,201.27 ,200.79 ,197.03 ,199.14 ,211.77 ,214.06 ,221.62 ,241.33 ,272.09 ,280.85 ,291.66 ,304.43 ,336.33 ,343.71 ,389.29 ,411.75 ,465.18 ,465.58 ,483.94 ,481.79 ,525.97 ,511.15 ,500.89 ,470.74 ,432.11 ,357.64 ,301.05 ,259.51 ,231.42 ,200.50 ,181.62 ,176.98 ,171.13 ,163.15 ,163.20 ,165.45 ,165.26 ,166.62 ,172.08 ,175.47 ,169.87 ,151.69 ,130.05 ,103.31 ,75.94 ,53.69 ,34.24 ,21.43 ,12.79 ,5.40 ,0.35 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
508,ARCu,Archway,2/3,10683.70 ,463.92 ,3411.91 ,3255.48 ,2527.58 ,806.40 ,218.40 ,3.96 ,10.43 ,21.46 ,37.79 ,57.34 ,78.97 ,107.77 ,146.21 ,183.05 ,223.65 ,276.52 ,331.26 ,357.80 ,367.68 ,367.19 ,341.92 ,295.93 ,253.04 ,219.75 ,194.13 ,172.13 ,154.09 ,147.46 ,144.16 ,135.57 ,129.48 ,131.49 ,131.21 ,132.80 ,132.94 ,134.64 ,133.56 ,131.28 ,123.99 ,122.43 ,119.80 ,116.28 ,115.01 ,121.71 ,126.48 ,131.44 ,138.76 ,155.27 ,173.51 ,204.02 ,218.56 ,241.02 ,253.61 ,253.33 ,236.40 ,234.74 ,219.94 ,197.72 ,177.22 ,157.56 ,133.47 ,111.13 ,97.86 ,90.51 ,81.63 ,75.69 ,68.78 ,62.30 ,53.19 ,45.26 ,39.43 ,40.13 ,40.50 ,36.71 ,35.55 ,33.02 ,26.47 ,19.15 ,16.32 ,13.53 ,10.59 ,8.71 ,6.88 ,5.03 ,3.06 ,2.37 ,1.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9443,ARNt,Arena,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
509,AGRu,Arnos Grove,4,5098.99 ,573.61 ,1836.68 ,1526.31 ,838.95 ,260.85 ,62.58 ,13.61 ,24.80 ,41.37 ,64.51 ,79.09 ,98.09 ,118.02 ,134.12 ,142.18 ,157.30 ,175.96 ,188.54 ,188.56 ,187.09 ,180.02 ,158.98 ,135.12 ,119.78 ,108.77 ,94.38 ,85.70 ,80.42 ,77.25 ,73.56 ,71.29 ,69.42 ,68.07 ,66.54 ,64.14 ,63.35 ,61.10 ,59.76 ,58.12 ,55.34 ,53.86 ,53.46 ,51.71 ,51.28 ,52.32 ,55.11 ,58.94 ,60.82 ,65.02 ,69.75 ,70.88 ,69.84 ,72.90 ,75.68 ,78.21 ,77.97 ,79.61 ,78.53 ,71.11 ,61.63 ,55.01 ,47.58 ,39.06 ,32.95 ,28.43 ,25.12 ,21.79 ,19.72 ,18.88 ,17.32 ,15.72 ,14.37 ,14.05 ,13.45 ,12.15 ,10.76 ,9.44 ,7.37 ,5.34 ,4.88 ,4.37 ,3.24 ,2.25 ,1.68 ,0.85 ,0.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
