503,ALEu,Aldgate East,1,16459.66 ,308.44 ,4557.21 ,5178.82 ,3578.50 ,1842.48 ,994.21 ,1.27 ,6.24 ,12.64 ,21.87 ,37.24 ,56.01 ,73.95 ,99.22 ,133.81 ,171.61 ,203.84 ,259.22 ,342.41 ,431.84 ,492.55 ,546.77 ,560.05 ,533.89 ,469.50 ,411.71 ,349.59 ,306.82 ,259.47 ,227.65 ,212.87 ,207.36 ,194.96 ,187.78 ,193.72 ,194.59 ,195.75 ,199.45 ,210.47 ,210.70 ,206.47 ,203.32 ,204.66 ,198.14 ,192.63 ,192.03 ,199.28 ,200.74 ,209.25 ,221.12 ,231.71 ,236.81 ,245.41 ,261.83 ,294.32 ,315.83 ,337.82 ,353.72 ,369.95 ,338.48 ,313.21 ,279.41 ,251.76 ,201.33 ,182.37 ,164.13 ,154.45 ,137.16 ,132.84 ,124.41 ,124.70 ,121.04 ,124.66 ,123.61 ,126.61 ,123.40 ,124.58 ,117.27 ,111.27 ,97.27 ,84.09 ,66.26 ,52.50 ,37.86 ,25.63 ,15.74 ,8.37 ,3.36 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
850,ALSd,All Saints,2,2285.14 ,34.82 ,326.21 ,771.23 ,677.61 ,308.29 ,166.98 ,0.74 ,1.40 ,3.29 ,3.74 ,4.28 ,6.04 ,7.32 ,8.01 ,12.22 ,16.49 ,21.05 ,26.82 ,32.93 ,36.47 ,36.70 ,36.08 ,32.71 ,28.72 ,23.80 ,22.24 ,21.27 ,21.25 ,20.49 ,21.15 ,21.81 ,21.50 ,22.50 ,23.56 ,25.91 ,27.17 ,28.47 ,29.39 ,30.37 ,30.62 ,31.15 ,31.12 ,31.77 ,32.83 ,34.29 ,37.39 ,45.77 ,53.85 ,61.17 ,66.43 ,68.60 ,66.78 ,62.82 ,59.58 ,57.61 ,57.85 ,57.10 ,56.18 ,53.73 ,50.98 ,45.41 ,40.96 ,36.61 ,33.24 ,29.73 ,27.78 ,25.50 ,24.09 ,23.13 ,22.09 ,22.29 ,21.23 ,21.32 ,21.27 ,20.64 ,19.28 ,18.75 ,17.39 ,16.25 ,15.34 ,14.79 ,12.98 ,11.63 ,8.60 ,6.16 ,3.22 ,1.82 ,0.14 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
505,ALPu,Alperton,4,4010.01 ,177.33 ,568.99 ,836.57 ,1465.05 ,636.34 ,325.72 ,8.85 ,13.49 ,17.72 ,22.50 ,25.96 ,25.95 ,29.81 ,33.05 ,38.52 ,44.74 ,54.08 ,59.44 ,64.99 ,65.64 ,60.02 ,52.01 ,42.78 ,34.31 ,27.25 ,25.21 ,20.10 ,21.21 ,19.99 ,22.75 ,21.54 ,26.32 ,23.94 ,27.55 ,24.81 ,29.22 ,26.26 ,32.29 ,30.43 ,36.51 ,33.45 ,39.34 ,34.94 ,43.04 ,38.84 ,50.79 ,46.92 ,59.76 ,54.87 ,71.72 ,73.84 ,87.35 ,83.95 ,102.56 ,112.04 ,131.47 ,146.19 ,161.55 ,162.34 ,154.89 ,134.71 ,114.16 ,98.02 ,80.48 ,64.45 ,59.24 ,51.60 ,47.77 ,42.33 ,44.99 ,35.51 ,38.77 ,33.46 ,39.72 ,33.69 ,39.75 ,33.85 ,37.88 ,30.63 ,32.24 ,26.76 ,25.78 ,19.48 ,17.24 ,11.68 ,7.72 ,5.01 ,2.75 ,1.26 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
506,AMEu,Amersham,9,2856.58 ,12.67 ,319.32 ,417.38 ,925.62 ,779.08 ,402.52 ,0.00 ,0.05 ,0.05 ,0.77 ,0.77 ,1.72 ,3.33 ,5.99 ,7.27 ,11.14 ,22.20 ,27.00 ,37.54 ,35.54 ,41.91 ,34.74 ,33.19 ,23.15 ,26.44 ,19.19 ,16.27 ,13.26 ,12.51 ,11.55 ,10.96 ,11.30 ,12.12 ,12.36 ,13.26 ,12.98 ,13.93 ,13.92 ,14.21 ,14.00 ,11.88 ,12.43 ,15.60 ,16.91 ,13.89 ,17.86 ,21.86 ,31.39 ,42.60 ,50.36 ,54.06 ,61.71 ,46.32 ,58.25 ,72.72 ,74.93 ,63.14 ,112.37 ,91.04 ,91.41 ,84.50 ,115.17 ,87.22 ,81.15 ,86.84 ,83.87 ,71.79 ,65.55 ,71.33 ,49.19 ,60.93 ,43.51 ,38.81 ,38.88 ,45.40 ,40.51 ,35.72 ,33.02 ,41.72 ,34.35 ,27.50 ,32.66 ,32.16 ,23.63 ,18.33 ,18.33 ,13.17 ,6.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9442,AMPt,Ampere Way,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
5397,ANYr,Anerley,4,1343.37 ,35.56 ,117.61 ,205.99 ,455.80 ,311.82 ,216.59 ,2.82 ,5.94 ,6.12 ,6.55 ,4.09 ,4.61 ,2.25 ,3.18 ,4.96 ,7.52 ,9.90 ,11.95 ,14.63 ,14.53 ,13.22 ,11.73 ,9.38 ,7.71 ,6.41 ,5.68 ,5.16 ,5.89 ,4.69 ,4.79 ,4.84 ,5.31 ,5.21 ,5.67 ,6.26 ,7.00 ,6.95 ,7.25 ,7.66 ,8.06 ,8.01 ,8.65 ,9.60 ,10.05 ,10.35 ,11.86 ,12.95 ,14.63 ,16.24 ,18.92 ,20.85 ,24.81 ,27.22 ,30.79 ,33.31 ,38.46 ,41.54 ,45.67 ,48.56 ,51.22 ,48.01 ,45.36 ,42.43 ,38.16 ,33.00 ,31.51 ,27.97 ,24.11 ,21.30 ,20.17 ,18.77 ,18.39 ,17.89 ,18.11 ,18.96 ,18.60 ,17.88 ,17.69 ,17.47 ,12.85 ,11.92 ,11.43 ,8.35 ,18.90 ,18.90 ,16.07 ,13.79 ,13.79 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
507,ANGu,Angel,1,21368.60 ,291.71 ,5288.72 ,7267.26 ,4883.30 ,2625.36 ,1012.26 ,0.00 ,0.53 ,2.92 ,11.17 ,29.91 ,54.00 ,81.47 ,111.70 ,146.05 ,180.74 ,222.98 ,278.57 ,373.71 ,485.99 ,558.49 ,629.44 ,664.06 ,645.93 ,576.00 ,526.75 ,474.59 ,438.89 ,398.49 ,373.44 ,355.71 ,326.71 ,295.13 ,279.14 ,279.15 ,286.03 ,290.37 ,297.49 ,305.47 ,303.15 ,285.90 ,273.52 ,264.26 ,253.37 ,241.54 ,239.92 ,242.61 ,249.31 ,247.73 ,265.35 ,280.26 ,294.01 ,307.15 ,346.34 ,370.88 ,405.71 ,441.79 ,472.49 ,491.53 ,502.36 ,496.30 ,474.48 ,440.11 ,382.16 ,323.40 ,267.85 ,219.55 ,179.98 ,155.65 ,141.98 ,132.17 ,127.52 ,127.32 ,127.68 ,130.29 ,130.36 ,126.70 ,125.74 ,117.47 ,101.12 ,85.25 ,69.26 ,51.22 ,34.44 ,21.85 ,12.37 ,6.20 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
508,ARCu,Archway,2/3,11347.36 ,125.99 ,2019.13 ,2666.15 ,3399.46 ,1945.38 ,1191.24 ,0.25 ,0.71 ,3.12 ,6.36 ,9.56 ,17.89 ,33.54 ,54.55 ,92.01 ,129.19 ,163.15 ,195.49 ,220.62 ,228.47 ,220.81 ,206.47 ,178.67 ,150.27 ,121.99 ,111.99 ,109.39 ,111.77 ,109.36 ,106.19 ,100.22 ,91.81 ,84.97 ,83.38 ,84.23 ,85.71 ,86.09 ,89.10 ,96.31 ,100.28 ,103.88 ,108.30 ,113.22 ,115.86 ,119.71 ,127.85 ,138.51 ,151.83 ,163.54 ,184.61 ,202.66 ,220.13 ,232.72 ,259.12 ,279.04 ,302.57 ,323.05 ,339.46 ,337.43 ,327.28 ,303.79 ,272.20 ,248.34 ,219.80 ,192.38 ,171.46 ,160.77 ,145.64 ,135.92 ,133.31 ,133.59 ,132.20 ,132.50 ,139.48 ,145.63 ,149.79 ,145.81 ,143.38 ,130.64 ,113.29 ,97.59 ,84.39 ,66.34 ,50.07 ,34.68 ,18.80 ,9.06 ,1.77 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9443,ARNt,Arena,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
509,AGRu,Arnos Grove,4,5219.59 ,82.84 ,617.27 ,1046.12 ,1768.82 ,1008.33 ,696.20 ,0.76 ,0.79 ,0.83 ,4.60 ,10.36 ,13.96 ,20.81 ,30.73 ,40.78 ,48.70 ,60.76 ,68.87 ,72.80 ,69.49 ,63.08 ,53.91 ,44.92 ,36.13 ,30.47 ,27.36 ,25.36 ,25.17 ,25.10 ,25.48 ,25.99 ,26.90 ,26.70 ,28.56 ,30.27 ,32.10 ,33.31 ,37.08 ,38.81 ,40.74 ,42.07 ,46.10 ,46.91 ,49.82 ,52.36 ,61.85 ,67.39 ,76.60 ,84.66 ,96.79 ,99.45 ,110.00 ,120.02 ,132.13 ,144.82 ,161.80 ,171.44 ,176.56 ,176.79 ,170.96 ,159.54 ,145.31 ,131.51 ,117.53 ,103.41 ,92.67 ,84.71 ,78.08 ,71.51 ,68.78 ,66.38 ,64.10 ,62.71 ,66.93 ,69.31 ,70.13 ,72.18 ,72.99 ,73.09 ,68.78 ,64.64 ,56.01 ,49.77 ,37.75 ,27.00 ,17.28 ,11.84 ,4.55 ,0.88 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
