503,ALEu,Aldgate East,1,14464.98 ,137.51 ,832.24 ,5537.70 ,3669.04 ,2655.21 ,1633.28 ,1.25 ,4.24 ,7.36 ,11.83 ,19.71 ,25.72 ,30.61 ,36.78 ,42.98 ,45.41 ,46.23 ,45.64 ,46.49 ,47.78 ,52.00 ,63.54 ,85.37 ,106.18 ,120.31 ,130.30 ,142.10 ,147.26 ,146.63 ,155.26 ,173.36 ,190.30 ,199.92 ,210.01 ,224.47 ,234.34 ,235.02 ,239.45 ,255.89 ,260.58 ,261.47 ,261.53 ,268.28 ,267.06 ,265.17 ,268.99 ,283.71 ,282.34 ,279.01 ,285.53 ,294.03 ,293.13 ,295.94 ,296.79 ,301.42 ,297.77 ,298.46 ,304.01 ,318.73 ,326.07 ,323.35 ,319.35 ,313.17 ,297.54 ,271.89 ,252.95 ,232.83 ,214.10 ,195.46 ,182.03 ,179.96 ,174.73 ,172.46 ,168.09 ,173.14 ,166.81 ,168.47 ,165.76 ,168.31 ,157.38 ,155.08 ,141.45 ,123.10 ,92.65 ,67.16 ,37.46 ,15.18 ,1.34 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
850,ALSd,All Saints,2,1892.62 ,14.39 ,137.63 ,838.62 ,445.11 ,290.58 ,166.28 ,0.03 ,0.14 ,0.26 ,0.66 ,1.71 ,2.84 ,3.78 ,4.96 ,6.16 ,6.76 ,7.00 ,7.59 ,8.32 ,9.12 ,10.30 ,12.46 ,14.86 ,16.79 ,18.45 ,19.81 ,21.90 ,25.26 ,26.26 ,27.92 ,29.90 ,30.82 ,29.25 ,29.95 ,31.87 ,33.59 ,34.53 ,34.93 ,37.59 ,38.86 ,40.23 ,40.56 ,42.51 ,43.02 ,41.51 ,39.96 ,41.14 ,40.54 ,37.94 ,38.59 ,38.81 ,37.04 ,37.50 ,38.78 ,38.61 ,37.72 ,38.37 ,37.54 ,36.51 ,35.67 ,35.71 ,32.84 ,30.98 ,29.72 ,28.41 ,26.30 ,25.79 ,25.23 ,23.56 ,21.13 ,20.51 ,20.32 ,19.31 ,19.34 ,19.11 ,18.58 ,17.14 ,16.65 ,16.29 ,18.11 ,16.55 ,15.12 ,12.39 ,9.24 ,4.33 ,2.09 ,0.61 ,0.06 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
505,ALPu,Alperton,4,3061.03 ,62.89 ,246.28 ,1286.58 ,709.01 ,441.78 ,314.49 ,2.00 ,3.52 ,5.25 ,6.78 ,8.08 ,11.15 ,11.81 ,14.30 ,14.83 ,17.87 ,15.01 ,17.09 ,16.29 ,19.44 ,18.12 ,24.09 ,23.40 ,25.88 ,24.64 ,29.60 ,25.12 ,31.00 ,28.90 ,32.93 ,32.95 ,40.43 ,42.86 ,45.74 ,50.06 ,50.87 ,56.00 ,50.22 ,61.82 ,57.88 ,65.84 ,56.77 ,71.93 ,63.43 ,76.95 ,68.17 ,80.11 ,66.48 ,72.60 ,57.54 ,69.89 ,60.56 ,69.36 ,59.96 ,68.49 ,56.23 ,60.15 ,50.29 ,57.56 ,49.84 ,58.23 ,48.44 ,49.84 ,47.43 ,45.26 ,37.97 ,39.52 ,39.71 ,32.10 ,33.89 ,29.51 ,31.55 ,26.59 ,28.41 ,25.68 ,30.19 ,27.82 ,33.05 ,32.14 ,35.72 ,31.29 ,29.91 ,24.49 ,20.31 ,12.32 ,7.28 ,3.60 ,0.60 ,0.10 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
506,AMEu,Amersham,9,1902.35 ,4.01 ,131.92 ,575.99 ,424.88 ,418.12 ,347.44 ,0.00 ,0.00 ,0.01 ,0.08 ,0.08 ,0.82 ,0.82 ,2.19 ,2.13 ,3.43 ,5.85 ,8.21 ,9.93 ,13.21 ,14.13 ,14.18 ,15.31 ,14.84 ,15.09 ,15.61 ,16.91 ,16.52 ,18.37 ,17.75 ,18.72 ,18.97 ,22.60 ,23.56 ,26.87 ,29.04 ,30.33 ,29.85 ,31.88 ,33.15 ,27.25 ,27.29 ,28.18 ,26.13 ,18.64 ,23.37 ,24.70 ,23.99 ,18.56 ,23.37 ,25.46 ,23.77 ,23.50 ,28.75 ,34.37 ,34.13 ,36.46 ,37.36 ,45.85 ,43.80 ,46.38 ,45.03 ,49.27 ,42.98 ,42.44 ,38.50 ,38.96 ,31.07 ,32.34 ,29.92 ,32.29 ,29.98 ,26.58 ,23.80 ,30.17 ,27.16 ,22.32 ,25.56 ,32.98 ,24.82 ,20.22 ,26.84 ,38.17 ,28.31 ,24.68 ,24.68 ,18.06 ,3.49 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9442,AMPt,Ampere Way,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
5397,ANYr,Anerley,4,1022.30 ,5.16 ,57.06 ,266.86 ,250.11 ,230.62 ,212.49 ,0.00 ,0.00 ,0.00 ,0.04 ,0.27 ,0.77 ,1.60 ,2.47 ,2.93 ,3.24 ,3.59 ,3.45 ,4.20 ,4.66 ,5.41 ,5.28 ,6.01 ,5.79 ,6.31 ,6.18 ,7.14 ,7.37 ,7.72 ,7.65 ,7.86 ,7.56 ,7.52 ,7.32 ,7.65 ,8.09 ,8.71 ,9.45 ,10.79 ,11.76 ,13.52 ,14.45 ,15.03 ,14.78 ,15.32 ,15.08 ,15.22 ,15.57 ,15.79 ,15.52 ,15.48 ,16.82 ,17.65 ,19.20 ,21.29 ,23.17 ,22.59 ,23.48 ,22.76 ,22.43 ,21.85 ,23.37 ,23.37 ,24.23 ,23.05 ,23.06 ,21.17 ,20.13 ,18.60 ,17.90 ,15.55 ,15.59 ,14.21 ,13.75 ,15.30 ,17.23 ,15.95 ,18.12 ,19.78 ,15.36 ,15.40 ,17.12 ,12.36 ,17.27 ,17.27 ,13.05 ,9.14 ,9.14 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
507,ANGu,Angel,1,20612.01 ,111.21 ,1468.12 ,8589.85 ,4930.82 ,3716.31 ,1795.69 ,0.00 ,0.20 ,0.80 ,3.69 ,10.48 ,21.40 ,31.07 ,43.57 ,54.28 ,61.22 ,64.27 ,71.21 ,83.77 ,99.12 ,115.10 ,137.86 ,164.48 ,188.37 ,205.43 ,223.00 ,243.32 ,259.03 ,266.32 ,280.72 ,294.48 ,302.10 ,311.35 ,332.10 ,350.67 ,376.13 ,394.02 ,410.88 ,418.63 ,426.50 ,423.04 ,421.40 ,417.26 ,417.26 ,405.08 ,393.06 ,380.46 ,368.41 ,351.44 ,346.19 ,347.69 ,361.82 ,369.82 ,385.17 ,400.80 ,414.50 ,417.01 ,432.02 ,436.17 ,450.81 ,453.32 ,461.70 ,458.00 ,449.43 ,415.26 ,390.88 ,352.48 ,311.47 ,275.12 ,251.20 ,224.24 ,206.60 ,193.94 ,187.68 ,188.87 ,191.73 ,190.57 ,203.18 ,203.43 ,199.10 ,187.69 ,162.81 ,120.09 ,83.13 ,44.67 ,15.84 ,4.59 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
508,ARCu,Archway,2/3,8344.12 ,93.18 ,641.88 ,2595.39 ,2114.62 ,1716.42 ,1182.63 ,3.59 ,4.84 ,7.07 ,8.43 ,10.42 ,13.17 ,19.46 ,26.20 ,36.74 ,45.51 ,51.96 ,55.82 ,58.73 ,56.33 ,54.41 ,53.31 ,53.68 ,55.17 ,57.06 ,63.16 ,69.54 ,73.73 ,76.25 ,78.35 ,79.56 ,82.56 ,86.07 ,89.78 ,97.54 ,103.51 ,106.74 ,109.38 ,114.76 ,116.72 ,119.05 ,123.00 ,126.16 ,128.43 ,128.62 ,131.03 ,134.42 ,138.50 ,139.34 ,142.38 ,145.09 ,148.98 ,152.02 ,161.07 ,174.37 ,185.85 ,189.74 ,194.35 ,193.39 ,191.51 ,189.32 ,188.94 ,185.60 ,180.39 ,170.56 ,159.30 ,149.82 ,143.08 ,135.31 ,128.99 ,121.71 ,116.98 ,112.03 ,112.65 ,115.29 ,123.96 ,127.86 ,133.74 ,134.88 ,136.17 ,118.30 ,101.43 ,75.84 ,51.22 ,24.05 ,12.29 ,2.73 ,0.46 ,0.10 ,0.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.01 ,1.94 ,3.68 ,6.23 ,6.22 ,6.22 
9443,ARNt,Arena,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
509,AGRu,Arnos Grove,4,4554.97 ,77.20 ,298.35 ,1227.93 ,1200.58 ,906.07 ,844.84 ,5.86 ,6.47 ,7.81 ,7.57 ,9.31 ,10.19 ,13.17 ,16.82 ,19.89 ,21.07 ,21.80 ,21.68 ,21.94 ,22.21 ,23.79 ,26.39 ,29.66 ,29.84 ,30.26 ,29.83 ,30.70 ,29.98 ,31.82 ,32.81 ,38.09 ,39.23 ,41.71 ,40.90 ,43.87 ,42.89 ,44.53 ,46.47 ,51.17 ,53.65 ,56.99 ,59.74 ,63.08 ,65.13 ,65.55 ,65.89 ,67.20 ,68.12 ,70.77 ,77.64 ,83.01 ,88.31 ,92.83 ,98.13 ,99.28 ,102.74 ,104.16 ,107.74 ,105.85 ,107.00 ,106.72 ,104.81 ,100.75 ,96.95 ,91.47 ,83.17 ,79.48 ,71.95 ,68.64 ,62.93 ,64.62 ,60.58 ,62.10 ,63.44 ,65.59 ,62.40 ,64.06 ,66.21 ,69.22 ,68.91 ,71.78 ,72.68 ,78.58 ,66.44 ,54.33 ,39.30 ,25.45 ,4.71 ,0.41 ,0.25 ,0.39 ,0.56 ,0.54 ,0.47 ,0.42 ,0.22 ,0.00 ,0.00 ,6.12 ,8.61 ,8.61 ,8.61 
