503,ALEu,Aldgate East,1,14396.48 ,343.03 ,3622.64 ,4650.31 ,3325.80 ,1676.76 ,777.94 ,1.37 ,7.18 ,14.57 ,25.53 ,43.31 ,64.40 ,81.16 ,105.50 ,137.49 ,169.63 ,189.35 ,227.36 ,283.09 ,337.42 ,370.95 ,407.69 ,418.03 ,400.72 ,358.84 ,322.06 ,278.03 ,245.85 ,209.56 ,184.56 ,172.50 ,172.10 ,167.75 ,167.37 ,173.08 ,174.42 ,174.39 ,173.75 ,180.17 ,182.44 ,181.71 ,183.53 ,193.55 ,194.05 ,192.87 ,195.05 ,205.89 ,207.43 ,213.64 ,226.61 ,240.72 ,242.95 ,247.30 ,263.12 ,284.36 ,290.46 ,299.47 ,308.58 ,317.73 ,295.63 ,279.45 ,256.03 ,232.28 ,187.54 ,166.87 ,150.11 ,141.97 ,129.34 ,126.97 ,117.07 ,113.20 ,105.40 ,104.06 ,101.96 ,106.73 ,105.99 ,106.17 ,98.36 ,87.31 ,72.09 ,58.70 ,44.43 ,34.83 ,25.99 ,17.69 ,11.03 ,6.14 ,2.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
850,ALSd,All Saints,2,2322.82 ,41.96 ,328.24 ,830.20 ,692.06 ,297.75 ,132.61 ,2.25 ,4.52 ,4.98 ,5.65 ,4.76 ,6.40 ,5.52 ,7.88 ,11.05 ,14.83 ,19.37 ,25.05 ,29.23 ,32.54 ,33.86 ,35.47 ,34.62 ,33.68 ,30.37 ,28.17 ,25.32 ,23.45 ,23.57 ,26.66 ,30.84 ,31.12 ,31.56 ,29.40 ,28.89 ,26.64 ,26.93 ,27.23 ,29.54 ,30.38 ,32.91 ,34.72 ,37.17 ,37.12 ,37.41 ,39.10 ,44.24 ,51.58 ,59.62 ,64.80 ,67.17 ,67.57 ,65.93 ,63.35 ,60.87 ,60.90 ,59.39 ,56.13 ,52.51 ,51.45 ,45.45 ,41.35 ,37.18 ,34.11 ,30.23 ,29.07 ,26.23 ,24.00 ,23.29 ,21.16 ,19.28 ,18.53 ,17.60 ,17.06 ,16.92 ,16.10 ,15.08 ,14.98 ,14.09 ,13.49 ,11.76 ,9.53 ,8.15 ,5.57 ,3.15 ,1.99 ,1.48 ,0.33 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
505,ALPu,Alperton,4,3980.53 ,155.55 ,560.89 ,911.92 ,1462.17 ,620.60 ,269.40 ,7.13 ,10.46 ,14.51 ,19.06 ,22.28 ,22.96 ,27.78 ,31.36 ,37.62 ,43.70 ,52.55 ,57.41 ,62.88 ,62.52 ,57.33 ,50.50 ,42.65 ,35.24 ,29.76 ,28.72 ,24.48 ,26.78 ,24.37 ,27.15 ,25.48 ,30.00 ,26.32 ,31.59 ,28.37 ,33.48 ,29.52 ,35.88 ,32.76 ,38.35 ,34.48 ,40.69 ,36.40 ,42.89 ,39.80 ,54.15 ,50.58 ,63.11 ,60.31 ,75.00 ,73.41 ,86.48 ,83.60 ,102.97 ,114.26 ,130.48 ,142.34 ,158.75 ,160.22 ,152.10 ,138.00 ,119.55 ,100.23 ,80.60 ,65.00 ,57.93 ,50.40 ,47.56 ,41.27 ,41.57 ,32.82 ,37.15 ,31.02 ,35.06 ,29.56 ,32.94 ,26.34 ,30.52 ,25.57 ,27.89 ,23.02 ,22.06 ,16.33 ,13.91 ,8.54 ,6.05 ,3.84 ,1.78 ,1.06 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
506,AMEu,Amersham,9,2366.03 ,12.82 ,317.01 ,380.92 ,789.38 ,641.13 ,224.77 ,0.04 ,0.04 ,0.04 ,0.43 ,0.43 ,1.55 ,3.50 ,6.78 ,8.38 ,11.86 ,22.99 ,28.41 ,39.50 ,37.50 ,43.02 ,34.53 ,31.62 ,20.10 ,22.88 ,16.21 ,14.82 ,12.19 ,11.71 ,11.40 ,11.22 ,10.31 ,11.58 ,10.84 ,10.93 ,10.57 ,12.11 ,11.16 ,12.90 ,13.11 ,11.34 ,11.38 ,13.70 ,14.61 ,11.83 ,15.98 ,19.73 ,30.15 ,40.68 ,46.65 ,49.55 ,55.64 ,40.74 ,46.47 ,58.97 ,59.82 ,50.73 ,94.14 ,78.78 ,78.53 ,73.06 ,102.95 ,77.55 ,72.39 ,76.35 ,73.92 ,60.37 ,53.53 ,58.00 ,40.61 ,48.15 ,31.33 ,25.07 ,23.87 ,24.92 ,22.51 ,19.17 ,19.61 ,23.69 ,21.10 ,15.97 ,19.86 ,18.17 ,12.85 ,9.59 ,9.59 ,5.70 ,2.04 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9442,AMPt,Ampere Way,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
5397,ANYr,Anerley,4,1249.23 ,33.72 ,117.41 ,224.58 ,459.59 ,273.90 ,140.02 ,2.02 ,4.49 ,5.36 ,5.81 ,4.11 ,4.89 ,3.25 ,3.78 ,5.15 ,7.16 ,9.69 ,12.02 ,13.81 ,13.97 ,13.48 ,12.20 ,9.15 ,8.18 ,6.73 ,5.86 ,5.06 ,5.88 ,4.95 ,5.62 ,5.59 ,5.54 ,5.61 ,5.32 ,5.49 ,6.29 ,6.96 ,7.74 ,8.88 ,9.85 ,9.57 ,9.97 ,11.24 ,12.16 ,12.61 ,13.76 ,14.71 ,15.82 ,16.80 ,19.18 ,22.55 ,25.97 ,27.68 ,30.98 ,34.31 ,38.67 ,40.67 ,45.51 ,49.67 ,51.09 ,47.40 ,45.09 ,40.97 ,35.26 ,29.96 ,27.67 ,24.99 ,21.71 ,18.77 ,16.95 ,15.50 ,14.88 ,13.59 ,13.67 ,13.30 ,13.17 ,11.87 ,11.60 ,10.16 ,7.73 ,6.24 ,5.49 ,3.74 ,12.50 ,12.50 ,11.23 ,10.25 ,10.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
507,ANGu,Angel,1,17099.98 ,284.24 ,4537.15 ,6201.12 ,3617.67 ,1878.63 ,581.18 ,0.00 ,0.65 ,4.10 ,13.67 ,30.66 ,52.93 ,76.95 ,105.28 ,133.49 ,161.21 ,194.88 ,241.75 ,321.66 ,422.85 ,491.17 ,550.90 ,573.80 ,548.73 ,474.32 ,422.39 ,378.52 ,360.27 ,333.44 ,321.03 ,309.44 ,285.79 ,253.87 ,238.40 ,235.59 ,242.97 ,247.77 ,251.45 ,256.93 ,255.94 ,240.25 ,228.47 ,226.53 ,223.00 ,215.75 ,215.16 ,216.07 ,218.45 ,215.80 ,230.25 ,237.34 ,246.40 ,253.94 ,277.62 ,288.73 ,312.91 ,332.50 ,341.76 ,343.94 ,342.36 ,329.88 ,310.28 ,288.73 ,255.86 ,220.77 ,189.00 ,162.85 ,140.33 ,124.16 ,113.38 ,103.78 ,97.08 ,92.87 ,89.81 ,87.42 ,84.11 ,78.86 ,74.43 ,64.35 ,53.90 ,43.53 ,33.92 ,24.21 ,16.92 ,10.55 ,6.19 ,2.78 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
508,ARCu,Archway,2/3,10090.75 ,130.82 ,1881.66 ,2546.65 ,3094.67 ,1671.96 ,765.00 ,0.43 ,1.25 ,3.47 ,6.24 ,9.93 ,19.02 ,35.44 ,55.02 ,86.63 ,118.08 ,147.44 ,174.65 ,196.85 ,207.31 ,203.80 ,193.11 ,169.37 ,145.89 ,122.72 ,115.79 ,113.63 ,115.88 ,113.35 ,108.60 ,100.07 ,89.59 ,83.32 ,80.94 ,81.39 ,82.70 ,85.61 ,87.95 ,92.29 ,94.97 ,97.03 ,99.57 ,103.77 ,107.53 ,110.41 ,118.11 ,127.51 ,138.04 ,147.72 ,166.66 ,183.61 ,195.93 ,206.98 ,235.74 ,258.51 ,280.52 ,300.61 ,316.44 ,309.07 ,293.71 ,270.04 ,243.49 ,221.65 ,197.99 ,174.90 ,156.21 ,144.06 ,129.76 ,119.77 ,113.01 ,108.92 ,103.73 ,100.80 ,101.17 ,103.58 ,104.47 ,99.95 ,95.24 ,85.20 ,71.60 ,59.79 ,50.28 ,36.92 ,26.13 ,17.90 ,9.07 ,4.19 ,0.67 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9443,ARNt,Arena,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
509,AGRu,Arnos Grove,4,4623.52 ,76.76 ,574.31 ,1016.19 ,1618.73 ,901.84 ,435.69 ,0.39 ,0.42 ,0.48 ,3.61 ,9.95 ,13.11 ,19.64 ,29.16 ,38.79 ,46.11 ,56.80 ,63.29 ,66.78 ,63.50 ,57.00 ,50.09 ,42.57 ,34.44 ,29.02 ,25.91 ,23.13 ,22.46 ,22.16 ,24.00 ,24.94 ,26.44 ,27.33 ,30.32 ,31.68 ,34.40 ,36.42 ,39.22 ,40.41 ,42.16 ,42.40 ,44.76 ,47.06 ,48.81 ,51.50 ,59.30 ,64.66 ,69.90 ,76.49 ,86.23 ,90.40 ,100.51 ,111.23 ,121.87 ,132.70 ,145.98 ,152.64 ,157.59 ,160.74 ,157.11 ,148.81 ,139.13 ,127.09 ,113.46 ,99.25 ,87.01 ,76.86 ,68.69 ,61.17 ,59.10 ,55.37 ,52.68 ,50.14 ,51.03 ,49.37 ,49.67 ,48.92 ,48.76 ,46.48 ,41.84 ,37.50 ,31.32 ,26.39 ,20.09 ,14.91 ,9.67 ,6.91 ,2.98 ,0.88 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
